epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1064,2.78286,5.76486,1.99551,0.10912,0.27692,0.0676,0.03175,2.04455,9.87395,1.63703,0.0002,0.0002,0.0002
2,42.4699,1.70107,2.33788,1.3949,0.60225,0.36923,0.39005,0.20353,1.93054,4.75999,1.55491,0.000415842,0.000415842,0.000415842
3,65.4844,1.67523,2.01503,1.37181,0.35435,0.32087,0.20324,0.11176,1.8412,3.52873,1.50137,0.000627328,0.000627328,0.000627328
4,86.5991,1.55217,1.60332,1.23954,0.56785,0.36154,0.38067,0.21442,1.79801,2.69698,1.45828,0.000834458,0.000834458,0.000834458
5,113.117,1.58722,1.76465,1.28181,0.23097,0.36923,0.12469,0.06444,1.85475,4.30882,1.51809,0.00103723,0.00103723,0.00103723
6,142.712,1.57821,1.61939,1.32335,0.05266,0.35385,0.02622,0.01372,2.09956,13.5748,1.69862,0.00123565,0.00123565,0.00123565
7,158.051,1.53721,1.48923,1.27623,0.35428,0.28462,0.22612,0.12113,2.13682,2.48757,1.76212,0.00142971,0.00142971,0.00142971
8,175.545,1.57299,1.58861,1.30596,0.69851,0.30769,0.33262,0.18349,1.91354,3.58386,1.80221,0.00161942,0.00161942,0.00161942
9,198.574,1.61151,1.60622,1.33861,0.48349,0.25925,0.25894,0.14854,2.00786,4.33571,1.7417,0.00180477,0.00180477,0.00180477
10,226.423,1.59203,1.48692,1.27698,0.39841,0.24615,0.22935,0.12768,2.01009,10.4686,1.90652,0.0018218,0.0018218,0.0018218
11,250.541,1.57564,1.57995,1.34087,0.41885,0.31602,0.31901,0.16342,2.11358,4.24279,1.78902,0.001802,0.001802,0.001802
12,281.725,1.53855,1.44891,1.27897,0.65543,0.34615,0.38777,0.22821,1.98133,3.29257,1.72344,0.0017822,0.0017822,0.0017822
13,295.354,1.60124,1.41353,1.29498,0.72247,0.33846,0.42241,0.25029,1.97537,2.74022,1.73942,0.0017624,0.0017624,0.0017624
14,312.99,1.59108,1.40323,1.28769,0.56224,0.38531,0.40672,0.24645,1.75442,2.10877,1.50515,0.0017426,0.0017426,0.0017426
15,333.482,1.54307,1.35498,1.30632,0.62505,0.4,0.43276,0.22385,1.84128,2.36256,1.48366,0.0017228,0.0017228,0.0017228
16,357.134,1.57208,1.40937,1.2641,0.53131,0.44473,0.42031,0.23912,1.9342,1.96326,1.53095,0.001703,0.001703,0.001703
17,380.553,1.47383,1.32682,1.25217,0.5334,0.40769,0.40544,0.23284,1.85918,2.36021,1.48329,0.0016832,0.0016832,0.0016832
18,403.354,1.48659,1.46227,1.26308,0.47933,0.33846,0.32976,0.18584,1.78793,3.20535,1.56301,0.0016634,0.0016634,0.0016634
19,425.915,1.47281,1.34372,1.27317,0.60528,0.31538,0.35009,0.201,1.8118,2.2429,1.55804,0.0016436,0.0016436,0.0016436
20,435.547,1.54046,1.36114,1.24109,0.43866,0.29231,0.25669,0.14806,2.13172,2.92833,1.76791,0.0016238,0.0016238,0.0016238
21,451.564,1.40449,1.32,1.17957,0.61377,0.36154,0.37856,0.20858,1.92457,2.15442,1.57639,0.001604,0.001604,0.001604
22,466.294,1.46813,1.26669,1.23043,0.59314,0.42308,0.40295,0.23003,1.77643,2.04686,1.42177,0.0015842,0.0015842,0.0015842
23,483.916,1.41306,1.28812,1.20451,0.6563,0.49231,0.501,0.29846,1.58842,1.77775,1.33078,0.0015644,0.0015644,0.0015644
